"","regions","cluster"
"136","chr1-21371470-21372043","healthy"
"137","chr1-21497569-21498184","healthy"
"138","chr1-21499534-21500346","healthy"
"139","chr1-21508664-21509907","healthy"
"140","chr1-21511682-21512258","healthy"
"141","chr1-21514204-21514589","healthy"
"142","chr1-21550638-21551410","healthy"
"143","chr1-23160119-23160617","healthy"
"144","chr1-23414952-23415511","healthy"
"145","chr1-23422341-23425353","healthy"
"146","chr1-23472863-23473598","healthy"
"147","chr1-24100989-24101269","healthy"
"148","chr1-24178273-24178645","healthy"
"149","chr1-24184071-24184574","healthy"
"150","chr1-24237928-24238310","healthy"
"151","chr1-24409023-24409336","healthy"
"152","chr1-24717622-24718609","healthy"
"153","chr1-24751702-24752198","healthy"
"154","chr1-24767196-24767693","healthy"
"155","chr1-25704045-25704737","healthy"
"156","chr1-25735786-25736491","healthy"
"157","chr1-25866282-25866638","healthy"
"158","chr1-25867055-25868055","healthy"
"159","chr1-25871048-25871697","healthy"
"160","chr1-25925447-25925956","healthy"
"161","chr1-26038801-26039154","healthy"
"162","chr1-26049554-26050122","healthy"
"163","chr1-26053728-26054549","healthy"
"164","chr1-26394683-26395209","healthy"
"165","chr1-26535045-26535575","healthy"
"166","chr1-26705793-26707254","healthy"
"167","chr1-26783934-26784424","healthy"
"168","chr1-26946162-26946617","healthy"
"169","chr1-27755404-27756249","healthy"
"170","chr1-28269636-28269906","healthy"
"171","chr1-28327271-28327810","healthy"
"172","chr1-28652301-28652770","healthy"
"173","chr1-28680868-28681655","healthy"
"174","chr1-28871422-28872510","healthy"
"175","chr1-29159704-29160070","healthy"
"176","chr1-31714374-31715949","healthy"
"177","chr1-32961903-32962534","healthy"
"178","chr1-33039709-33040110","healthy"
"179","chr1-33044994-33046196","healthy"
"180","chr1-33258783-33259106","healthy"
"181","chr1-34993576-34994528","healthy"
"182","chr1-35140968-35141201","healthy"
"183","chr1-35407654-35408194","healthy"
"184","chr1-35544727-35545403","healthy"
"185","chr1-36239943-36240623","healthy"
"186","chr1-36254898-36255485","healthy"
"187","chr1-36280208-36280819","healthy"
"188","chr1-36379943-36380542","healthy"
"189","chr1-37879595-37880179","healthy"
"190","chr1-37955475-37956211","healthy"
"191","chr1-38715832-38716871","healthy"
"192","chr1-38726705-38727059","healthy"
"193","chr1-38783078-38784221","healthy"
"194","chr1-38799888-38800362","healthy"
"195","chr1-38803878-38804344","healthy"
"196","chr1-38811414-38812014","healthy"
"197","chr1-38817597-38818735","healthy"
"198","chr1-39825148-39825865","healthy"
"199","chr1-39928704-39929210","healthy"
"200","chr1-39936431-39937486","healthy"
"201","chr1-40031870-40032652","healthy"
"202","chr1-40609896-40610537","healthy"
"203","chr1-40843701-40844071","healthy"
"204","chr1-40987503-40988657","healthy"
"205","chr1-41030931-41031627","healthy"
"206","chr1-41048727-41049227","healthy"
"207","chr1-41347186-41347589","healthy"
"208","chr1-41349856-41350352","healthy"
"209","chr1-42312421-42312981","healthy"
"210","chr1-42315328-42315835","healthy"
"211","chr1-42357630-42358492","healthy"
"212","chr1-42734009-42734579","healthy"
"213","chr1-42776376-42776854","healthy"
"214","chr1-42943055-42943631","healthy"
"215","chr1-42949045-42950089","healthy"
"216","chr1-43107573-43108651","healthy"
"217","chr1-43180527-43181073","healthy"
"218","chr1-43237549-43238445","healthy"
"219","chr1-43250003-43250748","healthy"
"220","chr1-43265290-43265804","healthy"
"221","chr1-43267272-43267807","healthy"
"222","chr1-43277477-43277869","healthy"
"223","chr1-43373400-43373957","healthy"
"224","chr1-43399932-43400353","healthy"
"225","chr1-43601510-43602236","healthy"
"226","chr1-43987253-43987901","healthy"
"227","chr1-44281932-44283227","healthy"
"228","chr1-45053506-45053978","healthy"
"229","chr1-45475700-45476075","healthy"
"230","chr1-45542353-45542948","healthy"
"231","chr1-45562029-45562567","healthy"
"232","chr1-45566450-45567148","healthy"
"233","chr1-45604919-45605386","healthy"
"234","chr1-45822418-45822945","healthy"
"235","chr1-45871205-45871856","healthy"
"236","chr1-45874870-45875189","healthy"
"237","chr1-46345343-46345573","healthy"
"238","chr1-46537909-46538819","healthy"
"239","chr1-46735444-46736086","healthy"
"240","chr1-46926904-46928172","healthy"
"241","chr1-46928331-46928693","healthy"
"242","chr1-46929894-46930528","healthy"
"243","chr1-46940289-46941785","healthy"
"244","chr1-46942036-46942478","healthy"
"245","chr1-46948420-46949455","healthy"
"246","chr1-46952464-46952763","healthy"
"247","chr1-46961046-46962713","healthy"
"248","chr1-47118426-47118884","healthy"
"249","chr1-47128274-47129293","healthy"
"250","chr1-47137112-47137634","healthy"
"251","chr1-47143533-47144074","healthy"
"252","chr1-47148949-47149403","healthy"
"253","chr1-47177960-47178396","healthy"
"254","chr1-47178991-47179768","healthy"
"255","chr1-47181028-47181390","healthy"
"256","chr1-47186324-47186619","healthy"
"257","chr1-47190906-47191941","healthy"
"258","chr1-47962840-47964243","healthy"
"259","chr1-47979696-47980211","healthy"
"260","chr1-47993014-47993673","healthy"
"261","chr1-48000866-48001229","healthy"
"262","chr1-48062138-48062756","healthy"
"263","chr1-48066548-48067414","healthy"
"264","chr1-48222145-48223677","healthy"
"265","chr1-48235653-48236064","healthy"
"266","chr1-48250401-48250917","healthy"
"267","chr1-48649834-48650212","healthy"
"268","chr1-48726590-48727189","healthy"
"269","chr1-48743549-48743974","healthy"
"270","chr1-50829066-50829796","healthy"
"271","chr1-51215724-51216894","healthy"
"272","chr1-51240075-51240516","healthy"
"273","chr1-51288576-51289087","healthy"
"274","chr1-52383326-52384532","healthy"
"275","chr1-52676270-52676914","healthy"
"276","chr1-52692672-52693022","healthy"
"277","chr1-52792797-52793409","healthy"
"278","chr1-52803652-52804699","healthy"
"279","chr1-52842347-52844393","healthy"
"280","chr1-52905839-52906677","healthy"
"281","chr1-53147017-53147616","healthy"
"282","chr1-53453299-53453897","healthy"
"283","chr1-53567056-53567874","healthy"
"284","chr1-53893962-53894297","healthy"
"285","chr1-54623179-54623993","healthy"
"286","chr1-54648927-54649683","healthy"
"287","chr1-54651628-54652436","healthy"
"288","chr1-56416373-56416956","healthy"
"289","chr1-56545480-56546391","healthy"
"290","chr1-56563457-56563950","healthy"
"291","chr1-59309268-59310167","healthy"
"292","chr1-59317401-59317723","healthy"
"293","chr1-59479992-59480791","healthy"
"294","chr1-59888676-59889218","healthy"
"295","chr1-59901528-59902120","healthy"
"296","chr1-59908494-59909056","healthy"
"297","chr1-61444101-61444616","healthy"
"298","chr1-61446284-61446957","healthy"
"299","chr1-61534865-61535382","healthy"
"300","chr1-61746900-61747251","healthy"
"301","chr1-61894823-61895619","healthy"
"302","chr1-61896183-61896672","healthy"
"303","chr1-62029548-62029930","healthy"
"304","chr1-62105295-62105637","healthy"
"305","chr1-62110066-62110969","healthy"
"306","chr1-62596828-62597597","healthy"
"307","chr1-62690392-62691691","healthy"
"308","chr1-63607942-63608561","healthy"
"309","chr1-63747312-63747917","healthy"
"310","chr1-63771888-63772529","healthy"
"311","chr1-63784156-63784840","healthy"
"312","chr1-63862993-63863503","healthy"
"313","chr1-64825796-64826146","healthy"
"314","chr1-64846742-64847776","healthy"
"315","chr1-65139622-65140181","healthy"
"316","chr1-65147301-65149400","healthy"
"317","chr1-65153326-65154021","healthy"
"318","chr1-65158426-65159552","healthy"
"319","chr1-65165541-65165999","healthy"
"320","chr1-65198940-65199241","healthy"
"321","chr1-65201605-65202322","healthy"
"322","chr1-65208314-65208993","healthy"
"323","chr1-65235728-65236192","healthy"
"324","chr1-65281544-65282266","healthy"
"325","chr1-65329509-65329946","healthy"
"326","chr1-66704964-66705521","healthy"
"327","chr1-67252231-67252701","healthy"
"328","chr1-67513729-67514645","healthy"
"329","chr1-67524175-67524682","healthy"
"330","chr1-67535435-67535720","healthy"
"331","chr1-67537290-67537984","healthy"
"332","chr1-67552090-67552825","healthy"
"333","chr1-67557677-67558367","healthy"
"334","chr1-67608554-67610657","healthy"
"335","chr1-67634934-67635884","healthy"
"336","chr1-67645492-67646602","healthy"
"337","chr1-67767018-67767575","healthy"
"338","chr1-67815422-67816965","healthy"
"339","chr1-68321003-68321469","healthy"
"340","chr1-70435348-70436160","healthy"
"341","chr1-74316232-74316953","healthy"
"342","chr1-74324703-74325391","healthy"
"343","chr1-75721440-75721675","healthy"
"344","chr1-75725822-75726378","healthy"
"345","chr1-75795816-75796524","healthy"
"346","chr1-77506447-77507323","healthy"
"347","chr1-77565137-77565622","healthy"
"348","chr1-77652825-77653266","healthy"
"349","chr1-77655152-77655833","healthy"
"350","chr1-77776128-77776784","healthy"
"351","chr1-77938433-77939067","healthy"
"352","chr1-83808507-83808900","healthy"
"353","chr1-83818325-83819443","healthy"
"354","chr1-84692149-84692499","healthy"
"355","chr1-84967971-84968745","healthy"
"356","chr1-85223196-85223721","healthy"
"357","chr1-85268838-85269901","healthy"
"358","chr1-85460442-85460879","healthy"
"359","chr1-85580109-85581813","healthy"
"360","chr1-89868669-89869154","healthy"
"361","chr1-89901902-89902575","healthy"
"362","chr1-89928205-89928890","healthy"
"363","chr1-89950122-89950619","healthy"
"364","chr1-91769738-91770206","healthy"
"365","chr1-91779507-91780004","healthy"
"366","chr1-91788605-91789120","healthy"
"367","chr1-91815770-91816388","healthy"
"368","chr1-91830066-91831306","healthy"
"369","chr1-93150922-93151262","healthy"
"370","chr1-93242122-93243015","healthy"
"371","chr1-93553789-93554538","healthy"
"372","chr1-93584242-93585505","healthy"
"373","chr1-93604873-93605560","healthy"
"374","chr1-93977021-93977614","healthy"
"375","chr1-94030848-94031777","healthy"
"376","chr1-94315620-94316508","healthy"
"377","chr1-94428579-94429525","healthy"
"378","chr1-94832672-94833711","healthy"
"379","chr1-95167331-95167821","healthy"
"380","chr1-98705618-98706085","healthy"
"381","chr1-98827899-98828647","healthy"
"382","chr1-100214801-100215643","healthy"
"383","chr1-100264363-100264716","healthy"
"384","chr1-100342092-100342693","healthy"
"385","chr1-100582556-100583331","healthy"
"386","chr1-109313024-109313327","healthy"
"387","chr1-109365691-109365993","healthy"
"388","chr1-109433366-109435032","healthy"
"389","chr1-109929547-109929993","healthy"
"390","chr1-110053507-110054190","healthy"
"391","chr1-111730878-111731352","healthy"
"392","chr1-112531964-112532570","healthy"
"393","chr1-112694427-112694840","healthy"
"394","chr1-113003902-113004824","healthy"
"395","chr1-113027056-113028496","healthy"
"396","chr1-113042157-113044100","healthy"
"397","chr1-113056584-113057435","healthy"
"398","chr1-114107766-114108459","healthy"
"399","chr1-114180577-114181559","healthy"
"400","chr1-114229410-114229989","healthy"
"401","chr1-114232586-114233064","healthy"
"402","chr1-114269926-114270647","healthy"
"403","chr1-114434748-114435479","healthy"
"404","chr1-115656573-115657123","healthy"
"405","chr1-115659437-115660124","healthy"
"406","chr1-116460621-116461316","healthy"
"407","chr1-116474853-116476184","healthy"
"408","chr1-116483108-116484470","healthy"
"409","chr1-116521102-116521733","healthy"
"410","chr1-117632216-117634247","healthy"
"411","chr1-117645731-117646853","healthy"
"412","chr1-117816010-117816527","healthy"
"413","chr1-117824609-117825300","healthy"
"414","chr1-117830468-117830803","healthy"
"415","chr1-117846638-117847727","healthy"
"416","chr1-119294005-119294561","healthy"
"417","chr1-119313845-119314765","healthy"
"418","chr1-119340955-119341858","healthy"
"419","chr1-119345455-119345813","healthy"
"420","chr1-119366445-119366766","healthy"
"421","chr1-119368325-119369048","healthy"
"422","chr1-119376618-119376906","healthy"
"423","chr1-119467905-119468509","healthy"
"424","chr1-119539433-119539988","healthy"
"425","chr1-119629511-119629976","healthy"
"426","chr1-119740843-119741310","healthy"
"427","chr1-119743874-119744386","healthy"
"428","chr1-119768672-119769165","healthy"
"429","chr1-119773482-119774210","healthy"
"430","chr1-119774675-119775576","healthy"
"431","chr1-145609755-145611031","healthy"
"432","chr1-145711075-145711792","healthy"
"433","chr1-147238118-147238428","healthy"
"434","chr1-147240070-147240402","healthy"
"435","chr1-147914306-147914813","healthy"
"436","chr1-149895401-149895680","healthy"
"437","chr1-149975814-149976176","healthy"
"438","chr1-149978311-149979021","healthy"
"439","chr1-150172697-150173793","healthy"
"440","chr1-150249872-150250282","healthy"
"441","chr1-150366469-150366775","healthy"
"442","chr1-150466162-150466447","healthy"
"443","chr1-150469288-150469565","healthy"
"444","chr1-150933072-150933723","healthy"
"445","chr1-150985051-150985352","healthy"
"446","chr1-151102592-151103241","healthy"
"447","chr1-151371277-151372925","healthy"
"448","chr1-151707796-151708393","healthy"
"449","chr1-151749913-151750712","healthy"
"450","chr1-151819328-151819527","healthy"
"451","chr1-151830330-151832019","healthy"
"452","chr1-151911358-151911638","healthy"
"453","chr1-153779967-153780555","healthy"
"454","chr1-153953904-153954237","healthy"
"455","chr1-154410255-154410784","healthy"
"456","chr1-154414535-154414895","healthy"
"457","chr1-154426876-154428465","healthy"
"458","chr1-154458911-154459405","healthy"
"459","chr1-154616317-154617016","healthy"
"460","chr1-154907968-154908493","healthy"
"461","chr1-154939993-154940245","healthy"
"462","chr1-155005116-155005324","healthy"
"463","chr1-155127107-155128017","healthy"
"464","chr1-155286261-155286920","healthy"
"465","chr1-155300514-155301498","healthy"
"466","chr1-155316646-155317278","healthy"
"467","chr1-155529228-155530708","healthy"
"468","chr1-155535636-155536789","healthy"
"469","chr1-155622994-155623809","healthy"
"470","chr1-155925576-155925815","healthy"
"471","chr1-155926907-155927157","healthy"
"472","chr1-156000492-156002771","healthy"
"473","chr1-156024662-156025164","healthy"
"474","chr1-156150428-156151073","healthy"
"475","chr1-156198483-156199349","healthy"
"476","chr1-156291181-156292080","healthy"
"477","chr1-156365666-156366120","healthy"
"478","chr1-156371517-156371894","healthy"
"479","chr1-156749669-156750051","healthy"
"480","chr1-160060996-160062674","healthy"
"481","chr1-160077939-160078918","healthy"
"482","chr1-160379457-160379967","healthy"
"483","chr1-161016516-161016791","healthy"
"484","chr1-161138826-161140118","healthy"
"485","chr1-161193605-161194256","healthy"
"486","chr1-161218647-161218936","healthy"
"487","chr1-161219203-161219513","healthy"
"488","chr1-161237558-161238530","healthy"
"489","chr1-161311459-161311956","healthy"
"490","chr1-161335663-161336503","healthy"
"491","chr1-161342220-161342555","healthy"
"492","chr1-161344870-161345256","healthy"
"493","chr1-161347728-161347988","healthy"
"494","chr1-161350644-161351193","healthy"
"495","chr1-161513451-161514217","healthy"
"496","chr1-161801815-161802368","healthy"
"497","chr1-162703631-162704149","healthy"
"498","chr1-162704862-162705295","healthy"
"499","chr1-164649516-164649834","healthy"
"500","chr1-164682315-164683206","healthy"
"501","chr1-165637322-165637974","healthy"
"502","chr1-165680203-165680694","healthy"
"503","chr1-165703801-165704194","healthy"
"504","chr1-165708468-165709270","healthy"
"505","chr1-165747558-165748428","healthy"
"506","chr1-165858155-165858756","healthy"
"507","chr1-165910334-165911520","healthy"
"508","chr1-166111040-166111843","healthy"
"509","chr1-166132871-166133306","healthy"
"510","chr1-166867368-166867726","healthy"
"511","chr1-166874494-166874799","healthy"
"512","chr1-167387079-167387791","healthy"
"513","chr1-168239643-168239952","healthy"
"514","chr1-169103249-169104135","healthy"
"515","chr1-170231458-170232105","healthy"
"516","chr1-170931058-170931825","healthy"
"517","chr1-171210259-171210782","healthy"
"518","chr1-171257093-171258058","healthy"
"519","chr1-171595044-171595701","healthy"
"520","chr1-171603015-171603428","healthy"
"521","chr1-171639529-171640028","healthy"
"522","chr1-171644804-171646362","healthy"
"523","chr1-173916759-173917642","healthy"
"524","chr1-173925146-173925632","healthy"
"525","chr1-174114713-174115230","healthy"
"526","chr1-174123662-174124182","healthy"
"527","chr1-174270012-174270548","healthy"
"528","chr1-174273674-174274178","healthy"
"529","chr1-175127539-175127895","healthy"
"530","chr1-175137211-175137676","healthy"
"531","chr1-176466516-176466843","healthy"
"532","chr1-177793715-177794947","healthy"
"533","chr1-177825304-177825933","healthy"
"534","chr1-178034524-178035312","healthy"
"535","chr1-178037258-178038260","healthy"
"536","chr1-179120776-179121777","healthy"
"537","chr1-179151800-179152545","healthy"
"538","chr1-179200596-179200964","healthy"
"539","chr1-179933092-179933499","healthy"
"540","chr1-179968922-179969540","healthy"
"541","chr1-180188030-180188587","healthy"
"542","chr1-180269751-180270597","healthy"
"543","chr1-180961408-180962766","healthy"
"544","chr1-181246560-181246950","healthy"
"545","chr1-181452306-181453522","healthy"
"546","chr1-181788536-181788968","healthy"
"547","chr1-183383005-183383892","healthy"
"548","chr1-183806120-183806666","healthy"
"549","chr1-183861027-183861738","healthy"
"550","chr1-183887486-183887762","healthy"
"551","chr1-183892245-183892647","healthy"
"552","chr1-184209737-184210480","healthy"
"553","chr1-184684464-184685160","healthy"
"554","chr1-184686033-184686959","healthy"
"555","chr1-200887794-200888730","healthy"
"556","chr1-200908838-200910285","healthy"
"557","chr1-200919368-200919760","healthy"
"558","chr1-201028126-201028879","healthy"
"559","chr1-201164572-201165023","healthy"
"560","chr1-201533612-201534169","healthy"
"561","chr1-202131791-202133353","healthy"
"562","chr1-202473430-202474040","healthy"
"563","chr1-202827234-202828164","healthy"
"564","chr1-202860676-202862060","healthy"
"565","chr1-204128745-204131599","healthy"
"566","chr1-204145060-204145460","healthy"
"567","chr1-204150108-204152762","healthy"
"568","chr1-204225719-204226681","healthy"
"569","chr1-204278375-204279003","healthy"
"570","chr1-204282566-204283245","healthy"
"571","chr1-204424648-204425275","healthy"
"572","chr1-204439632-204440473","healthy"
"573","chr1-204503219-204504273","healthy"
"574","chr1-204885209-204885997","healthy"
"575","chr1-205049431-205049853","healthy"
"576","chr1-205058913-205059564","healthy"
"577","chr1-205271951-205272414","healthy"
"578","chr1-205328296-205328838","healthy"
"579","chr1-205354825-205355382","healthy"
"580","chr1-205365568-205366453","healthy"
"581","chr1-205485162-205485834","healthy"
"582","chr1-205507441-205508450","healthy"
"583","chr1-205613949-205614316","healthy"
"584","chr1-205689958-205690477","healthy"
"585","chr1-205726537-205727056","healthy"
"586","chr1-205782747-205783506","healthy"
"587","chr1-205825852-205826809","healthy"
"588","chr1-205849557-205850458","healthy"
"589","chr1-205910452-205910868","healthy"
"590","chr1-205913192-205913965","healthy"
"591","chr1-206020282-206020905","healthy"
"592","chr1-206691544-206692233","healthy"
"593","chr1-207004856-207005879","healthy"
"594","chr1-207067522-207068121","healthy"
"595","chr1-207070019-207070761","healthy"
"596","chr1-208047322-208048389","healthy"
"597","chr1-208058028-208059749","healthy"
"598","chr1-208149371-208150191","healthy"
"599","chr1-209662593-209663341","healthy"
"600","chr1-209706693-209707876","healthy"
"601","chr1-209720184-209721033","healthy"
"602","chr1-209723969-209724631","healthy"
"603","chr1-209741021-209741608","healthy"
"604","chr1-209780172-209780656","healthy"
"605","chr1-209783385-209783930","healthy"
"606","chr1-211548220-211549717","healthy"
"607","chr1-212386694-212387541","healthy"
"608","chr1-212408940-212409556","healthy"
"609","chr1-212987886-212988368","healthy"
"610","chr1-213414905-213416583","healthy"
"611","chr1-215600013-215600591","healthy"
"612","chr1-216794076-216795231","healthy"
"613","chr1-216904489-216906263","healthy"
"614","chr1-217091312-217092323","healthy"
"615","chr1-217331559-217332346","healthy"
"616","chr1-217462520-217463048","healthy"
"617","chr1-220698473-220699404","healthy"
"618","chr1-220754469-220754976","healthy"
"619","chr1-220759217-220759528","healthy"
"620","chr1-220766984-220767973","healthy"
"621","chr1-220785375-220787626","healthy"
"622","chr1-220827916-220828441","healthy"
"623","chr1-222794557-222795703","healthy"
"624","chr1-222811677-222811987","healthy"
"625","chr1-223006920-223007783","healthy"
"626","chr1-223079500-223079810","healthy"
"627","chr1-224117432-224117773","healthy"
"628","chr1-224339134-224339978","healthy"
"629","chr1-224441204-224441604","healthy"
"630","chr1-224851334-224852069","healthy"
"631","chr1-225693033-225693379","healthy"
"632","chr1-225800810-225801511","healthy"
"633","chr1-225812040-225812454","healthy"
"634","chr1-225813197-225813879","healthy"
"635","chr1-225844099-225844763","healthy"
"636","chr1-225851558-225852137","healthy"
"637","chr1-225877509-225877938","healthy"
"638","chr1-225889844-225890165","healthy"
"639","chr1-225964900-225966097","healthy"
"640","chr1-226973789-226975408","healthy"
"641","chr1-230000189-230000807","healthy"
"642","chr1-230011054-230012339","healthy"
"643","chr1-230069897-230070143","healthy"
"644","chr1-230070503-230070728","healthy"
"645","chr1-230253986-230254654","healthy"
"646","chr1-230326718-230327567","healthy"
"647","chr1-233672685-233674320","healthy"
"648","chr1-233689190-233690299","healthy"
"649","chr1-234538017-234538717","healthy"
"650","chr1-234721460-234722218","healthy"
"651","chr1-234973443-234974081","healthy"
"652","chr1-235298752-235299817","healthy"
"653","chr1-235411712-235412092","healthy"
"654","chr1-236075517-236076233","healthy"
"655","chr1-236126788-236127419","healthy"
"656","chr1-236144598-236145139","healthy"
"657","chr1-236819725-236820584","healthy"
"658","chr1-236836962-236837760","healthy"
"659","chr1-237234750-237235468","healthy"
"660","chr1-237921760-237922339","healthy"
"661","chr1-237952834-237953630","healthy"
"662","chr1-241560558-241560953","healthy"
"663","chr1-241565889-241566607","healthy"
"664","chr1-241701193-241701766","healthy"
"665","chr1-244850047-244850438","healthy"
"666","chr1-245045128-245046047","healthy"
"667","chr1-246583203-246583999","healthy"
"668","chr1-246797345-246797967","healthy"
"669","chr1-247276980-247277947","healthy"
"670","chr1-248445187-248445750","healthy"
"671","chr1-248704195-248705031","healthy"
"672","chr1-248733155-248734296","healthy"
"673","chr1-248777495-248778125","healthy"
"674","chr1-248782383-248783275","healthy"
"675","chr1-248783437-248784065","healthy"
"676","chr1-248790936-248791406","healthy"
"677","chr2-228038-228464","healthy"
"678","chr2-237855-239197","healthy"
"679","chr2-260592-261029","healthy"
"680","chr2-262225-262458","healthy"
"681","chr2-280169-281149","healthy"
"682","chr2-1996839-1997815","healthy"
"683","chr2-3175879-3176842","healthy"
"684","chr2-3324213-3325260","healthy"
"685","chr2-3347741-3349761","healthy"
"686","chr2-3375501-3376435","healthy"
"687","chr2-3398799-3400262","healthy"
"688","chr2-3656509-3656934","healthy"
"689","chr2-3678114-3678584","healthy"
"690","chr2-8599351-8600239","healthy"
"691","chr2-8658872-8659878","healthy"
"692","chr2-8678695-8679411","healthy"
"693","chr2-9366228-9366859","healthy"
"694","chr2-9367396-9368097","healthy"
"695","chr2-9372702-9374459","healthy"
"696","chr2-9848317-9848729","healthy"
"697","chr2-10059815-10060232","healthy"
"698","chr2-10069636-10070344","healthy"
"699","chr2-10077971-10078252","healthy"
